Source;Target
sustainability;Sustainable Entrepreneurship
sustainability;Embeddedness
sustainability;Sustainable Tourism
sustainability;Stakeholder Relations
sustainability;Paradoxical Frames
sustainability;Sensemaking
sustainability;Temporality
sustainability;Sustainable Innovation
sustainability;Institutional Logics
sustainability;Business Models for Sustainability (BMfS)
sustainability;Sustainability Work
sustainability;Collective Agency
sustainability;Organizational Tensions
sustainability;Systemic Connectivity
sustainability;Interdisciplinarity
sustainability;Metrics and Assessment
sustainability;Sustainability Reporting
sustainability;Commensuration
sustainability;Morality and Values
sustainability;Health and Well-being
sustainability;Systems Thinking
sustainability;Organizational Attention
Sustainable Entrepreneurship;Embeddedness
Sustainable Entrepreneurship;Sustainable Tourism
Embeddedness;Sustainable Tourism
Stakeholder Relations;Paradoxical Frames
Stakeholder Relations;Sensemaking
Paradoxical Frames;Sensemaking
Paradoxical Frames;Organizational Tensions
Sensemaking;Organizational Tensions
Institutional Logics;Business Models for Sustainability (BMfS)
Institutional Logics;Organizational Tensions
Institutional Logics;Organizational Attention
Sustainability Work;Collective Agency
Sustainability Work;Organizational Tensions
Collective Agency;Organizational Tensions
Systemic Connectivity;Interdisciplinarity
Systemic Connectivity;Metrics and Assessment
Interdisciplinarity;Metrics and Assessment
Sustainability Reporting;Commensuration
Sustainability Reporting;Morality and Values
Sustainability Reporting;Temporality
Commensuration;Morality and Values
Health and Well-being;Systems Thinking
Health and Well-being;Organizational Attention
Systems Thinking;Organizational Attention
Temporality;Sustainable Innovation
Sustainable Innovation;Metrics and Assessment
Business Models for Sustainability (BMfS);Organizational Tensions
